,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
2242,6093109406638615680,214.80043313315392,-46.95685076850078,0.03475280469375695,0.1810685594883971,-4.641857008117099,-2.1986625684150902,18.07148,18.562944,17.315315,1.2476292,0.4914646,0.75616455,False
2243,6096138281996391552,212.090649727253,-45.75298557633845,-0.11818586308741934,0.31612310459466114,-0.8348044728016188,-11.83349421186136,18.603046,19.026976,17.970211,1.0567646,0.4239292,0.6328354,False
2244,6096245145079651712,214.62073215130778,-45.687019098710834,0.2104022295838251,0.5140304665453966,-8.76932258770433,-0.6281497201091091,19.483232,20.32029,18.697104,1.6231861,0.8370571,0.786129,False
2245,6092838858059450880,215.47526800917174,-47.555624247518345,0.36531257889791635,1.028591027653584,0.4133186360072394,-3.752969142911712,20.771774,21.198269,20.008493,1.1897755,0.4264946,0.76328087,False
2246,6092596484460170112,212.47992799195276,-48.46772994265712,0.08679479868911061,0.7271543671166176,-8.558360410211487,1.6356098773302121,20.30683,20.655483,19.29138,1.3641033,0.3486538,1.0154495,False
2247,6092546280591164032,212.77312309247034,-48.54794535876675,0.1152888520115841,0.294462408743051,-14.60330038970113,-7.295820619434391,19.101976,19.84756,18.24919,1.5983715,0.7455845,0.852787,False
2248,6092891699040640128,215.29785014416345,-47.345429364393944,0.07707874119621433,0.24956227321939697,-3.9906344693296916,-1.386866179637488,18.607752,19.104017,18.040377,1.0636406,0.4962654,0.5673752,False
2249,6091679212595079296,215.23879217930548,-48.2522177733775,0.20214877127807568,0.7092629176886975,-8.071078355543674,-8.737572988534254,19.59163,20.58367,18.617462,1.9662075,0.9920387,0.9741688,False
2250,6096900449713495808,212.5134414751737,-45.38113042668219,0.28162951999125907,0.5790169946332168,-4.058615473951026,-3.6276335472077594,19.108662,19.684439,18.488703,1.1957359,0.57577705,0.6199589,False
2251,6099036147973416832,217.63885328621552,-46.105972664835164,-0.11024325264242338,0.3269624241494006,-1.302040691832182,-10.222013051318394,19.164873,19.704338,18.37799,1.3263474,0.53946495,0.7868824,False
2252,6095946726454327680,212.09831458332803,-46.684921573657554,0.261704645023845,0.7013323079903189,-3.028214915275787,-5.772454855964387,18.994278,19.585854,18.167616,1.4182377,0.5915756,0.82666206,False
2253,6091916883196143360,217.20374552112747,-48.10392831486135,-0.031046991854598537,0.31181755599189404,-4.4428845939849655,-0.4039515301844958,19.100735,19.57557,18.491697,1.0838718,0.47483444,0.6090374,False
2254,6095955556908218880,212.3574701934452,-46.47082030381268,0.01201040992406394,0.3763070558112423,-4.050997584885282,1.676241418298574,18.851068,19.359592,18.276974,1.0826187,0.50852394,0.5740948,False
2255,6092965125799780992,216.60730936298285,-46.855227713798904,0.21022190964574683,0.7176380719524293,-0.4215510440667748,-0.08445484152333202,20.369593,20.852566,19.946554,0.9060116,0.4829731,0.42303848,False
2256,6093175824009920768,214.721877224797,-46.48462676696337,0.16011595719940064,0.8818469895270101,-0.0356911583819447,-1.7151136242296414,20.094748,20.562254,19.200405,1.3618488,0.4675064,0.8943424,False
2257,6096229850699822976,214.89293065758676,-45.90207796896065,0.04593825375485657,0.8168032280562464,1.6627312803513432,-7.0384777090623025,20.214735,20.854963,19.308443,1.5465202,0.6402283,0.90629196,False
